Entity,Code,Year,Category,Energy Consumption
World,OWID_WRL,2003,Hyrdropower,7607.18
World,OWID_WRL,2003,Nuclear,7350.6562
World,OWID_WRL,2003,Gas,25729.617
World,OWID_WRL,2003,Oil,44652.22
World,OWID_WRL,2003,Coal,31506.16
World,OWID_WRL,2003,Traditional Biomass,12329
World,OWID_WRL,2004,Other renewables,729.37866
World,OWID_WRL,2004,Modern Biofuels,210.21715
World,OWID_WRL,2004,Solar,8.563793
World,OWID_WRL,2004,Wind,246.72266
World,OWID_WRL,2004,Hyrdropower,8116.5034
World,OWID_WRL,2004,Nuclear,7635.7695
World,OWID_WRL,2004,Gas,26721.139
World,OWID_WRL,2004,Oil,46387.812
World,OWID_WRL,2004,Coal,33685.52
World,OWID_WRL,2004,Traditional Biomass,12160
World,OWID_WRL,2005,Other renewables,789.99854
World,OWID_WRL,2005,Modern Biofuels,246.52557
World,OWID_WRL,2005,Solar,11.99108
World,OWID_WRL,2005,Wind,299.59247
World,OWID_WRL,2005,Hyrdropower,8336.344
World,OWID_WRL,2005,Nuclear,7607.3535
World,OWID_WRL,2005,Gas,27438.281
World,OWID_WRL,2005,Oil,46887.754
World,OWID_WRL,2005,Coal,36183.348
World,OWID_WRL,2005,Traditional Biomass,12076
World,OWID_WRL,2006,Other renewables,841.28894
World,OWID_WRL,2006,Modern Biofuels,306.51932
World,OWID_WRL,2006,Solar,16.39757
World,OWID_WRL,2006,Wind,379.86954
World,OWID_WRL,2006,Hyrdropower,8599.518
World,OWID_WRL,2006,Nuclear,7653.7217
World,OWID_WRL,2006,Gas,28161.41
World,OWID_WRL,2006,Oil,47388.004
World,OWID_WRL,2006,Coal,38068.867
World,OWID_WRL,2006,Traditional Biomass,11993
World,OWID_WRL,2007,Other renewables,913.1756
World,OWID_WRL,2007,Modern Biofuels,397.3358
World,OWID_WRL,2007,Solar,22.108496
World,OWID_WRL,2007,Wind,484.96048
World,OWID_WRL,2007,Hyrdropower,8687.896
World,OWID_WRL,2007,Nuclear,7450.836
World,OWID_WRL,2007,Gas,29315.736
World,OWID_WRL,2007,Oil,47942.97
World,OWID_WRL,2007,Coal,40231.242
World,OWID_WRL,2007,Traditional Biomass,11911
World,OWID_WRL,2008,Other renewables,976.6638
